Issue Type,Summary,Description,Status,Priority,Story Points,Epic Link,Components,Labels
Epic,UD-1 Autenticacion seguridad y permisos,Login JWT + roles + 2FA + audit,Done,High,26,,Backend;Frontend,seguridad
Story,Login JWT + bcrypt + roles,Implementar auth con JWT bcrypt y roles (admin/gerencia/analista/lector/user),Done,High,5,UD-1,Backend,auth
Story,Self-registration con dominio @unistore.ar,Registro automatico para emails del dominio corporativo,Done,Medium,3,UD-1,Backend,auth
Story,Set-initial-password flow,Flow para users creados por admin sin password,Done,Medium,2,UD-1,Backend,auth
Story,Rate limiting anti brute-force,Slowapi con 10/min login y 5/min register,Done,High,2,UD-1,Backend,security
Story,2FA TOTP backend,Endpoints setup/enable/disable con pyotp,Done,High,5,UD-1,Backend,2fa
Story,2FA TOTP UI con QR,Pagina /account con QR escaneable + codigo manual,Done,High,5,UD-1,Frontend,2fa
Story,Admin CRUD users,Crear/editar/desactivar/cambiar password,Done,Medium,3,UD-1,Backend;Frontend,admin
Story,Audit log de SQL libre,Tabla query_runs registra ejecuciones,Done,Low,1,UD-1,Backend,audit
Epic,UD-2 Dashboard gerencial,KPIs ejecutivos + comparador HOY + salud por unidad,Done,High,28,,Frontend;Backend,dashboard
Story,Pagina /dashboard con KPIs ejecutivos,Vista cross-unidad principal,Done,High,5,UD-2,Frontend,dashboard
Story,Comparador HOY vs 7d/30d/365d,Bloques contextuales (default y CS),Done,High,5,UD-2,Frontend;Backend,dashboard
Story,Salud por unidad de negocio,Cards Unistore/Unidrop/Unidev con KPIs,Done,High,3,UD-2,Frontend,dashboard
Story,Cards de Salud clickeables,Drilldowns en cada KPI de salud,Done,High,3,UD-2,Frontend,drilldown
Story,Chart Tendencia 12 meses,TN + ML + Unidrop por mes,Done,Medium,3,UD-2,Frontend,charts
Story,Donut Mix de revenue,Revenue distribution del mes,Done,Medium,2,UD-2,Frontend,charts
Story,Top 15 productos cross-canal,TN + ML combinados con thumbnails,Done,Medium,3,UD-2,Backend;Frontend,products
Story,Lifecycle de customers Unistore,Distribucion Nuevo/2da/Convertido/Recurrente,Done,Medium,2,UD-2,Frontend,cs
Story,Alertas operativas + Salud integraciones,Panel de alertas y health-check,Done,Medium,2,UD-2,Frontend,monitoring
Epic,UD-3 Customer Success Cohortes RFM,Drill por estado y RFM + Posible churn,Done,High,32,,Frontend;Backend,cs
Story,/dashboard/cs con KPIs,Cancelaciones refunds repeat purchase,Done,High,5,UD-3,Frontend,cs
Story,Tabla Estados clickeable a modal,Drill por Nuevo/2da/Recurrente/etc,Done,High,3,UD-3,Frontend,drilldown
Story,Tabla RFM clickeable a modal,Drill por Champions/Loyal/At Risk/etc,Done,High,3,UD-3,Frontend,drilldown
Story,Comparador HOY contextual CS,Customers nuevos/recurrentes/cancelaciones/refunds,Done,High,5,UD-3,Backend;Frontend,cs
Story,/dashboard/cohortes selector unit,Unistore vs Unidrop dropshippers,Done,High,5,UD-3,Backend;Frontend,cohorts
Story,Estado Posible churn,Gap actual mayor a 1.5x avg,Done,High,5,UD-3,Backend,cs
Story,Estado Perdidos,Mas de 365 dias sin compras,Done,Medium,2,UD-3,Backend,cs
Story,Banner alertas con cards Posible churn + Perdidos,Click navega a drilldown,Done,Medium,2,UD-3,Frontend,cs
Story,/dashboard/rfm 11 segmentos,Champions Loyal At Risk Lost etc,Done,Medium,2,UD-3,Backend;Frontend,rfm
Epic,UD-4 Productos EAN Lotes Stock,Vista 360 EAN destacado + thumbnails universales,Done,High,24,,Frontend;Backend,products
Story,/dashboard/productos lista,Filtros y buscador SKU/EAN,Done,High,5,UD-4,Frontend,products
Story,/dashboard/productos/[sku] vista 360,Revenue customers devoluciones por SKU,Done,High,5,UD-4,Frontend,products
Story,EAN como Codigo de barras oficial,Card destacado en producto 360,Done,High,2,UD-4,Frontend,ean
Story,Thumbnails SKU automaticos en CategoryTable,Imagenes en TODA la app via enrich,Done,High,3,UD-4,Frontend,ux
Story,/dashboard/costos importacion,Excel uploader + calculo costos USD/ARS,Done,Medium,5,UD-4,Backend;Frontend,costs
Story,/dashboard/lotes,Consumo markup cobertura de pago,Done,Medium,3,UD-4,Frontend,lotes
Story,/dashboard/stock-heatmap,SKU x area de deposito,Done,Low,1,UD-4,Frontend,stock
Epic,UD-5 Ventas Marketing Mapa,Dashboards ventas + marketing + mapa Argentina,Done,High,22,,Frontend;Backend,sales
Story,/dashboard/ventas,KPIs por unit y canal,Done,High,5,UD-5,Frontend,sales
Story,/dashboard/marketing,LTV repeat purchase top customers,Done,High,5,UD-5,Frontend,marketing
Story,/dashboard/mapa choropleth Argentina,Reescrito con d3-geo fitSize,Done,High,5,UD-5,Frontend,maps
Story,Mapa estilo gubernamental,Halo pais hover glow tooltip flotante,Done,Medium,3,UD-5,Frontend,maps
Story,Mapa drilldown por provincia,Top SKUs/clientes/ciudades,Done,Medium,2,UD-5,Frontend,drilldown
Story,/dashboard/customer/[id] vista 360,Cliente final Unistore con etiquetas claras,Done,Medium,2,UD-5,Frontend,customers
Epic,UD-6 Logistica Envios Pipeline,Funnel TN-Digip-Despacho + carriers + pipeline 5 steps,Done,High,26,,Frontend;Backend,logistics
Story,/dashboard/logistica funnel,TN-Digip-Despacho-Fulfillment,Done,High,5,UD-6,Frontend,logistics
Story,OrderStatusPipeline 5 steps,Recibida-Pagada-Empaquetada-Enviada-Recibida,Done,High,5,UD-6,Frontend,orders
Story,Deteccion empaquetada via Digip,EXISTS en DespachoPedido,Done,Medium,3,UD-6,Backend,orders
Story,OrderDetailModal TN admin-style,Items address timeline,Done,High,5,UD-6,Frontend,orders
Story,/dashboard/envios-unistore por canal,OCA/Correo/Unifast/Retiro/Moto/Andreani/Personalizado,Done,High,5,UD-6,Frontend;Backend,shipping
Story,Deteccion canal via shippingOption + trackingCompany,col_or_null helper,Done,Medium,3,UD-6,Backend,shipping
Epic,UD-7 Unidrop Dropshippers Suscripciones,Vista 360 propia + segmentacion canal MELI/TN/ambos,Done,High,38,,Frontend;Backend,unidrop
Story,/dashboard/dropshippers listado,Filtros plan riesgo actividad canal,Done,High,5,UD-7,Frontend,unidrop
Story,/dashboard/dropshipper/[id] vista 360 propia,No mezclar con Customer Unistore,Done,High,5,UD-7,Backend;Frontend,unidrop
Story,Segmentacion canal MELI/TN/Ambos/Sin operar,4 cards clickeables,Done,High,5,UD-7,Frontend,unidrop
Story,KPIs separados MELI vs TN,Cards y vista 360 distinguidos,Done,Medium,3,UD-7,Frontend,unidrop
Story,Filtros KPIs sobre universo no subset,Bug fix stats globales primero,Done,High,3,UD-7,Backend,unidrop
Story,/dashboard/saas SaaS metrics,MRR usuarios activos churn funnel,Done,High,5,UD-7,Frontend,unidrop
Story,/dashboard/pagos Talo,PaymentTransaction y deudas,Done,Medium,3,UD-7,Frontend,unidrop
Story,/dashboard/subscriptions-meli,Planes intents activas,Done,Medium,3,UD-7,Frontend,unidrop
Story,/dashboard/envios Unidrop,OCA + LightData,Done,Medium,3,UD-7,Frontend,unidrop
Story,/dashboard/envios-meli MELI por modo,FULL Cross Flex Pickup con deteccion dinamica,Done,Medium,3,UD-7,Frontend;Backend,shipping
Epic,UD-8 Devoluciones Unidev,Casos por modelo de negocio,Done,Medium,8,,Frontend,unidev
Story,/dashboard/devoluciones,Casos por modelo de negocio,Done,Medium,5,UD-8,Frontend,unidev
Story,KPIs gerencial Devoluciones clickeables,Drill abiertas/resueltas/monto,Done,Medium,3,UD-8,Frontend,unidev
Epic,UD-9 Drilldown universal UX,Modal generico + badges + ocultar columnas redundantes,Done,High,30,,Frontend,ux
Story,DrillDownModal generico,CSV export filtros buscador,Done,High,5,UD-9,Frontend,drilldown
Story,Drilldowns universales,cliente provincia SKU lote categoria marca proveedor ciudad,Done,High,5,UD-9,Frontend,drilldown
Story,Badge VIP en filas mayor a 300k,Diseno dorado consistente,Done,Medium,2,UD-9,Frontend,ux
Story,Filas Unidrop reconocidas via _unit,No abrir Customer Unistore para users Unidrop,Done,Medium,3,UD-9,Frontend;Backend,unidrop
Story,OrderStatusPipeline en celda payment,Pipeline cuando hay shipping,Done,Medium,3,UD-9,Frontend,orders
